[2014-10-17 16:14:57] EDIT heritage/controllers/manage.py: 2
[2014-10-17 16:16:01] EDIT heritage/controllers/manage.py: 0
[2014-10-17 16:18:14] EDIT heritage/models/menu.py: 1
[2014-10-17 16:18:46] CREATE manage/index.html: 0
[2014-10-17 16:19:04] EDIT heritage/views/manage/index.html: -1
[2014-10-17 16:21:08] EDIT heritage/models/db1.py: 0
[2014-10-17 16:26:26] EDIT heritage/models/db1.py: 0
[2014-10-17 16:26:45] EDIT heritage/models/db1.py: 0
[2014-10-17 16:27:28] EDIT heritage/controllers/manage.py: 0
[2014-10-17 16:27:36] EDIT heritage/controllers/manage.py: 0
[2014-10-17 16:27:44] EDIT heritage/views/manage/index.html: 0
[2014-10-17 16:31:53] EDIT heritage/models/db1.py: 1
[2014-10-17 16:38:01] EDIT heritage/controllers/default.py: 1
[2014-10-17 16:40:46] EDIT heritage/views/default/links.html: -15
[2014-10-17 16:44:39] EDIT heritage/controllers/default.py: 1
[2014-10-17 16:44:52] EDIT heritage/controllers/default.py: -1
[2014-10-17 16:46:56] EDIT heritage/views/default/links.html: 2
[2014-10-17 16:52:39] EDIT heritage/views/default/links.html: 0
[2014-10-17 16:53:07] EDIT heritage/views/default/links.html: -7
[2014-10-17 16:53:37] EDIT heritage/views/default/links.html: 7
[2014-10-17 16:54:11] EDIT heritage/controllers/default.py: 0
[2014-10-17 16:54:30] EDIT heritage/controllers/default.py: 0
[2014-10-17 16:55:23] EDIT heritage/models/db1.py: 0
[2014-10-17 16:57:32] EDIT heritage/views/default/links.html: 0
[2014-10-17 16:58:14] EDIT heritage/views/default/links.html: -8
[2014-10-17 17:04:30] EDIT heritage/views/default/links.html: -60
[2014-10-17 17:06:17] EDIT heritage/models/db1.py: 4
[2014-10-17 17:07:03] EDIT heritage/controllers/default.py: 1
[2014-10-17 17:07:11] EDIT heritage/controllers/default.py: 0
[2014-10-17 17:07:17] EDIT heritage/controllers/default.py: 0
[2014-10-17 17:07:26] EDIT heritage/controllers/default.py: 0
[2014-10-17 17:09:41] EDIT heritage/views/default/contact.html: 5
[2014-10-19 09:10:39] EDIT heritage/models/db1.py: 2
[2014-10-19 09:13:26] EDIT heritage/controllers/default.py: 0
[2014-10-19 09:14:13] EDIT heritage/views/default/about.html: 1
[2014-10-19 09:15:04] EDIT heritage/views/default/about.html: 2
[2014-10-19 09:17:48] EDIT heritage/static/css/style.css: 0
[2014-10-19 09:18:44] EDIT heritage/static/css/style.css: 0
[2014-10-19 09:21:43] EDIT heritage/static/css/style.css: 0
[2014-10-19 09:21:53] EDIT heritage/views/default/staff.html: 0
[2014-10-19 09:21:58] EDIT heritage/views/default/about.html: 0
[2014-10-19 15:13:20] EDIT heritage/views/default/staff.html: 0
[2014-10-19 15:14:20] EDIT heritage/views/default/about.html: 2
[2014-10-19 15:59:07] EDIT heritage/views/default/about.html: 0
[2014-10-19 16:06:01] EDIT heritage/static/css/style.css: 0
[2014-10-19 16:06:31] EDIT heritage/static/css/style.css: 0
[2014-10-19 16:06:47] EDIT heritage/static/css/style.css: 0
[2014-10-19 16:07:12] EDIT heritage/static/css/style.css: 0
[2014-10-19 20:04:28] EDIT heritage/static/css/style.css: 3
[2014-10-19 20:05:34] EDIT heritage/static/css/style.css: 0
[2014-10-19 20:06:46] EDIT heritage/static/css/style.css: 1
[2014-10-19 20:58:35] EDIT heritage/static/css/style.css: 1
[2014-10-19 20:58:50] EDIT heritage/static/css/style.css: 0
[2014-10-19 21:02:33] EDIT heritage/static/css/style.css: 0
[2014-10-19 21:04:55] EDIT heritage/models/db1.py: 6
[2014-10-19 21:05:14] EDIT heritage/controllers/default.py: 0
[2014-10-19 21:05:55] EDIT heritage/controllers/default.py: 0
[2014-10-19 21:06:24] EDIT heritage/controllers/default.py: 1
[2014-10-19 21:06:31] EDIT heritage/controllers/default.py: 0
[2014-10-19 21:12:44] EDIT heritage/views/default/youth.html: 7
[2014-10-19 21:13:49] EDIT heritage/views/default/youth.html: 3
[2014-10-19 21:14:14] EDIT heritage/views/default/youth.html: 0
[2014-10-19 21:15:51] EDIT heritage/views/default/youth.html: 0
[2014-10-19 21:16:11] EDIT heritage/views/default/youth.html: -16
